CF dip peak lp ip
126 79.24349450388456 90.61098668696768 84.92724059542613 85.17971179544985
127 74.77818132966719 86.77124354947591 80.77471243957154 81.1181511479626
128 83.98727422798095 97.97046536171476 90.97886979484785 91.51099559847687
129 104.69646772409806 123.57085132520493 114.13365952465149 114.91451775268992
130 80.70596865799102 94.40128377415476 87.5536262160729 87.90136195982105
131 88.66286277741699 104.2096358633264 96.4362493203717 97.22396088771549
132 91.65906241308605 107.42261139856069 99.54083690582337 100.27615923543046
133 87.67796262714192 103.32910422513781 95.50353342613987 96.21738468269372
134 75.55674474523225 90.57586287284028 83.06630380903627 83.53073004568412
135 85.63917621144664 101.58421619657335 93.61169620401 94.10980504532739
136 79.70326663688999 97.96850905146553 88.83588784417776 89.86428238188081
137 87.16378130630828 102.63718501174407 94.90048315902618 95.37950674592899
138 92.62860462650713 102.79016685604176 97.70938574127445 97.83167810293824
139 106.61119508496024 120.86467071835459 113.73793290165742 113.93426555154387
140 99.03540033672644 112.97463631953023 106.00501832812833 106.45539705432542
141 77.45303484497977 94.06353405284378 85.75828444891178 86.63287465171805
142 76.80335884909779 90.47106452980678 83.63721168945229 84.2610514812078
143 94.07076234409054 111.75382659932193 102.91229447170623 103.5788018012367
144 84.0807230929106 96.1202323288428 90.1004777108767 90.24262595390024
145 76.74888871684036 88.17880214521753 82.46384543102894 82.6586336395876
146 91.23595288564414 107.82677798800141 99.53136543682277 100.1154539009705
147 96.08806401157682 113.34036608708219 104.71421504932951 105.61227785948482
148 75.51404467024524 85.99963239845859 80.75683853435191 80.84850081560663
149 95.9330468129692 110.3488933998578 103.1409701064135 103.61644711323774
150 93.87497111301111 107.7116390433657 100.79330507818841 101.091524988252
151 75.42842028577064 88.88513776584549 82.15677902580806 82.686580811514
152 97.30056631325448 114.60437040573538 105.95246835949493 106.97073692537494
153 73.96897252050698 85.14737247492947 79.55817249771823 79.82877759812196
154 96.61904507864696 113.24007842495838 104.92956175180268 105.94844991745923
155 110.1730712931538 128.1320841143693 119.15257770376155 120.007927006851
156 91.8852449827843 105.7563825378665 98.8208137603254 99.34227895228237
157 89.4194990122021 104.23497617569731 96.8272375939497 97.48412487587606
158 79.03820282577969 96.64871137783081 87.84345710180526 88.97206386189123
159 76.97497096643113 93.06831936345078 85.02164516494096 85.95745764661879
160 76.47343731544801 86.90032842258 81.686882869014 81.8792191304121
161 84.91378997839708 103.93139841518112 94.4225941967891 95.65389883724798
162 76.13189699530092 87.53830383876546 81.83510041703319 82.11579822665493
163 76.91528179615845 89.6296391331266 83.27246046464253 83.66433025723151
164 93.23498292665312 108.48112090557166 100.85805191611239 101.56044690076419
165 88.63609415617401 102.44014153239704 95.53811784428552 95.94660312034385
166 73.70439674244982 87.23327683599352 80.46883678922167 81.23527084255976
167 75.6131035116267 88.49791864479151 82.05551107820911 82.74778609199717
168 80.40834968297692 97.00071796943263 88.70453382620477 89.20161078951139
169 105.7279971571645 122.7062909805859 114.2171440688752 114.83128201088478
170 82.82351199401393 95.56281666176156 89.19316432788774 89.66931994291345
171 78.71280573780354 93.79547918093468 86.2541424593691 86.92682837089184
172 78.56703826606392 91.65025093682159 85.10864460144276 85.27812900201887
173 107.16454173859314 125.08584682460595 116.12519428159955 116.86042796284057
174 82.01638593715299 95.63847295057637 88.82742944386467 89.42318150686368
175 83.27692100361575 100.74133230090197 92.00912665225886 93.33449019112872
176 78.05181679059669 90.52865761251009 84.2902372015534 84.29549596063777
177 80.21235491643415 94.06517203354032 87.13876347498723 87.76410037031452
178 77.73200207170939 90.14822874886003 83.9401154102847 83.93422567172719
179 105.57037541990138 123.05385545341696 114.31211543665917 115.12642544780036
180 82.34244663848233 97.58560006834267 89.9640233534125 90.62481976791273
181 77.72198552479263 89.78340829242757 83.75269690861009 84.08611142222614
182 100.91354236836132 116.20879669104788 108.5611695297046 109.10960138044419
183 77.13734956007713 90.90076469137728 84.0190571257272 84.75475003160773
184 82.81538273454053 94.44950445273014 88.63244359363534 88.79428641243734
185 82.94597597457638 91.62566483872939 87.28582040665289 87.26694202913092
186 79.00329454158853 98.69968315240845 88.85148884699849 90.42525535532378
187 73.34041021742314 86.75645427543509 80.04843224642912 80.65263837564012
188 107.74455445043448 126.21374704700303 116.97915074871875 117.90816857541957
189 101.85812331123498 119.68494560539952 110.77153445831725 111.63699775020856
